"data";"valor"
"01/01/2005";"916"
"01/01/2006";"916"
"01/01/2007";"927"
"01/01/2008";"911"
"01/01/2009";"867"
"01/01/2010";"829"
"01/01/2011";"785"
"01/01/2012";"750"
"01/01/2013";"715"
"01/01/2014";"684"
"01/01/2015";"649"
"01/01/2016";"620"
"01/01/2017";"507"
"01/01/2018";"466"
