"data";"valor"
"01/01/2005";"1677"
"01/01/2006";"1852"
"01/01/2007";"2032"
"01/01/2008";"2261"
"01/01/2009";"2527"
"01/01/2010";"2776"
"01/01/2011";"3008"
"01/01/2012";"3235"
"01/01/2013";"3572"
"01/01/2014";"3889"
"01/01/2015";"4182"
"01/01/2016";"4524"
"01/01/2017";"4968"
"01/01/2018";"5387"
"01/01/2019";"6054"
"01/01/2020";"6490"
