Data;12101 - Operações de crédito com recursos livres concedidos por cooperativa de crédito - pessoas físicas - rural - R$ (milhões);12102 - Operações de crédito com recursos livres concedidos  por cooperativa de crédito - pessoas físicas - empréstimos de mútuo - R$ (milhões);12103 - Operações de                crédito com recursos livres concedidos por cooperativa                  de crédito - pessoas físicas - total - R$ (milhões);12132 - Operações de crédito do sistema financeiro com recursos direcionados concedidos por Cooperativas - Rural - R$ (milhões);13702 - Operações de crédito livres das cooperativas - pessoas físicas/PIB - %;14096 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Sudeste - Total - R$ (milhões);17481 - Crédito com recursos livres das cooperativas - pessoas físicas/PIB - %
04/2006;977 ;7.857 ;8.834 ;1.853 ;0,4 ;313.302 ;0,4
05/2006;971 ;7.950 ;8.921 ;1.898 ;0,4 ;321.762 ;0,4
06/2006;962 ;8.019 ;8.981 ;1.968 ;0,4 ;324.721 ;0,4
07/2006;941 ;8.128 ;9.069 ;1.776 ;0,4 ;331.410 ;0,4
08/2006;946 ;8.275 ;9.221 ;1.833 ;0,4 ;331.844 ;0,4
09/2006;939 ;8.410 ;9.349 ;2.070 ;0,4 ;338.383 ;0,4
10/2006;929 ;8.556 ;9.485 ;2.312 ;0,4 ;345.173 ;0,4
11/2006;935 ;8.683 ;9.618 ;2.456 ;0,4 ;355.325 ;0,4
12/2006;942 ;8.817 ;9.758 ;2.444 ;0,4 ;366.862 ;0,4
01/2007;960 ;9.054 ;10.013 ;2.503 ;0,4 ;370.840 ;0,4
02/2007;977 ;9.279 ;10.256 ;2.477 ;0,4 ;376.187 ;0,4
03/2007;978 ;9.466 ;10.444 ;2.563 ;0,4 ;382.236 ;0,4
04/2007;969 ;9.678 ;10.647 ;2.654 ;0,4 ;390.868 ;0,4
05/2007;958 ;9.816 ;10.774 ;2.744 ;0,4 ;396.480 ;0,4
06/2007;943 ;10.030 ;10.974 ;2.814 ;0,4 ;405.533 ;0,4
07/2007;931 ;10.298 ;11.229 ;2.582 ;0,4 ;413.960 ;0,4
08/2007;935 ;10.554 ;11.489 ;2.766 ;0,4 ;427.892 ;0,4
09/2007;922 ;10.761 ;11.683 ;2.993 ;0,4 ;438.640 ;0,5
10/2007;917 ;11.080 ;11.997 ;3.285 ;0,4 ;449.939 ;0,5
11/2007;928 ;11.352 ;12.279 ;3.472 ;0,4 ;467.421 ;0,5
12/2007;938 ;11.539 ;12.477 ;3.581 ;0,4 ;484.633 ;0,5
01/2008;946 ;11.896 ;12.841 ;3.587 ;0,5 ;490.014 ;0,5
02/2008;954 ;12.220 ;13.174 ;3.531 ;0,5 ;500.418 ;0,5
03/2008;957 ;12.546 ;13.504 ;3.688 ;0,5 ;518.671 ;0,5
04/2008;972 ;12.781 ;13.753 ;3.877 ;0,5 ;532.886 ;0,5
